Freq(Hz),SPL_L(dB),Phase_L(degrees),SPL_R(dB),Phase_R(degrees)
113.049,71.205,8.506,63.538,1.802
113.386,71.209,8.513,63.539,1.796
113.722,71.212,8.518,63.540,1.789
114.059,71.215,8.522,63.542,1.779
114.395,71.219,8.527,63.543,1.768
114.732,71.222,8.532,63.544,1.757
115.068,71.225,8.538,63.544,1.747
115.405,71.228,8.543,63.545,1.740
115.741,71.232,8.546,63.546,1.735
116.077,71.235,8.549,63.547,1.730
116.414,71.238,8.553,63.549,1.724
116.750,71.241,8.558,63.551,1.714
117.087,71.244,8.565,63.552,1.701
117.423,71.247,8.574,63.553,1.688
117.760,71.251,8.581,63.554,1.676
118.096,71.254,8.586,63.555,1.667
118.433,71.258,8.589,63.555,1.662
118.769,71.261,8.591,63.556,1.658
119.106,71.264,8.593,63.558,1.652
119.442,71.267,8.598,63.560,1.643
119.778,71.270,8.605,63.561,1.631
120.115,71.273,8.613,63.563,1.617
120.451,71.276,8.621,63.563,1.604
120.788,71.280,8.627,63.563,1.595
121.124,71.283,8.630,63.564,1.589
121.461,71.287,8.633,63.564,1.584
121.797,71.290,8.636,63.565,1.580
122.134,71.293,8.640,63.567,1.573
122.470,71.296,8.644,63.568,1.563
122.807,71.299,8.648,63.570,1.551
123.143,71.302,8.651,63.570,1.540
123.479,71.305,8.654,63.571,1.529
123.816,71.308,8.656,63.572,1.521
124.152,71.311,8.659,63.572,1.512
124.489,71.313,8.662,63.573,1.503
124.825,71.316,8.667,63.574,1.493
125.162,71.319,8.672,63.575,1.481
125.498,71.322,8.678,63.576,1.470
125.835,71.325,8.683,63.576,1.462
126.171,71.328,8.689,63.576,1.455
126.508,71.332,8.693,63.577,1.450
126.844,71.335,8.696,63.579,1.443
127.180,71.339,8.698,63.580,1.434
127.517,71.342,8.698,63.581,1.423
127.853,71.345,8.697,63.582,1.411
128.190,71.348,8.698,63.583,1.398
128.526,71.351,8.699,63.584,1.387
128.863,71.353,8.703,63.584,1.378
129.199,71.356,8.707,63.585,1.371
129.536,71.359,8.712,63.586,1.365
129.872,71.363,8.716,63.587,1.358
130.209,71.366,8.719,63.588,1.350
130.545,71.369,8.721,63.589,1.339
130.882,71.372,8.724,63.591,1.326
131.218,71.374,8.728,63.591,1.313
131.554,71.377,8.734,63.591,1.301
131.891,71.380,8.740,63.591,1.293
132.227,71.384,8.745,63.592,1.288
132.564,71.387,8.749,63.592,1.285
132.900,71.391,8.750,63.594,1.281
133.237,71.394,8.750,63.595,1.275
133.573,71.397,8.750,63.597,1.264
133.910,71.400,8.751,63.598,1.250
134.246,71.403,8.753,63.599,1.237
134.583,71.405,8.756,63.599,1.225
134.919,71.408,8.759,63.599,1.217
135.255,71.411,8.761,63.600,1.210
135.592,71.414,8.762,63.601,1.203
135.928,71.417,8.763,63.602,1.193
136.265,71.420,8.765,63.603,1.182
136.601,71.422,8.767,63.603,1.170
136.938,71.425,8.770,63.604,1.160
137.274,71.428,8.774,63.604,1.152
137.611,71.431,8.778,63.604,1.146
137.947,71.434,8.781,63.605,1.140
138.284,71.437,8.784,63.606,1.132
138.620,71.440,8.786,63.608,1.122
138.956,71.443,8.788,63.609,1.109
139.293,71.446,8.789,63.609,1.095
139.629,71.450,8.790,63.609,1.083
139.966,71.453,8.791,63.609,1.074
140.302,71.456,8.791,63.610,1.067
140.639,71.458,8.792,63.610,1.061
140.975,71.461,8.792,63.611,1.052
141.312,71.464,8.792,63.612,1.041
141.648,71.467,8.793,63.613,1.028
141.985,71.469,8.795,63.613,1.015
142.321,71.472,8.797,63.613,1.004
142.657,71.475,8.799,63.613,0.996
142.994,71.478,8.802,63.613,0.991
143.330,71.480,8.804,63.613,0.989
143.667,71.483,8.806,63.614,0.985
144.003,71.486,8.807,63.615,0.979
144.340,71.489,8.808,63.617,0.970
144.676,71.492,8.808,63.618,0.958
