Freq(Hz),SPL_L(dB),Phase_L(degrees),SPL_R(dB),Phase_R(degrees)
12635.616,72.974,8.295,62.869,8.372
12635.953,72.974,8.303,62.867,8.349
12636.289,72.975,8.309,62.864,8.331
12636.626,72.976,8.315,62.859,8.328
12636.962,72.978,8.324,62.855,8.341
12637.299,72.981,8.333,62.853,8.364
12637.635,72.985,8.338,62.854,8.383
12637.972,72.990,8.332,62.856,8.389
12638.308,72.994,8.313,62.858,8.381
12638.645,72.996,8.284,62.858,8.366
12638.981,72.996,8.253,62.857,8.353
12639.317,72.993,8.232,62.855,8.349
12639.654,72.989,8.227,62.854,8.353
12639.990,72.986,8.237,62.855,8.358
12640.327,72.984,8.255,62.856,8.357
12640.663,72.984,8.272,62.857,8.346
12641.000,72.986,8.283,62.857,8.331
12641.336,72.987,8.286,62.856,8.319
12641.673,72.987,8.282,62.854,8.318
12642.009,72.988,8.276,62.853,8.330
12642.346,72.987,8.268,62.853,8.348
12642.682,72.986,8.261,62.856,8.366
12643.019,72.984,8.255,62.860,8.372
12643.354,72.982,8.255,62.865,8.362
12643.691,72.980,8.262,62.868,8.339
12644.027,72.978,8.277,62.869,8.310
12644.364,72.979,8.295,62.867,8.287
12644.701,72.981,8.309,62.864,8.279
12645.037,72.985,8.311,62.861,8.289
12645.374,72.988,8.297,62.861,8.310
12645.710,72.990,8.273,62.862,8.329
12646.047,72.989,8.248,62.865,8.336
12646.383,72.987,8.235,62.868,8.328
12646.720,72.984,8.239,62.868,8.312
12647.056,72.982,8.258,62.866,8.302
12647.393,72.984,8.281,62.862,8.310
12647.729,72.987,8.295,62.861,8.335
12648.065,72.991,8.294,62.862,8.364
12648.401,72.994,8.278,62.866,8.382
12648.738,72.995,8.256,62.871,8.377
12649.074,72.994,8.239,62.875,8.350
12649.411,72.992,8.233,62.874,8.316
12649.748,72.990,8.237,62.871,8.292
12650.084,72.990,8.247,62.867,8.289
12650.421,72.990,8.253,62.864,8.304
12650.757,72.992,8.251,62.863,8.326
12651.094,72.992,8.240,62.865,8.342
12651.430,72.991,8.226,62.868,8.344
12651.767,72.988,8.216,62.871,8.334
12652.103,72.985,8.216,62.872,8.320
12652.439,72.982,8.227,62.873,8.306
12652.775,72.981,8.245,62.874,8.291
12653.112,72.981,8.262,62.874,8.272
12653.448,72.982,8.273,62.874,8.246
12653.785,72.984,8.275,62.872,8.219
12654.121,72.985,8.272,62.867,8.199
12654.458,72.985,8.268,62.862,8.198
12654.795,72.985,8.265,62.857,8.218
12655.131,72.985,8.265,62.855,8.251
12655.468,72.986,8.265,62.857,8.281
12655.804,72.987,8.262,62.861,8.294
12656.141,72.988,8.255,62.865,8.286
12656.477,72.989,8.244,62.867,8.263
12656.813,72.990,8.231,62.867,8.239
12657.149,72.990,8.217,62.864,8.226
12657.486,72.990,8.203,62.861,8.229
12657.822,72.989,8.191,62.859,8.244
12658.159,72.988,8.180,62.859,8.262
12658.495,72.986,8.174,62.861,8.275
12658.832,72.985,8.174,62.863,8.280
12659.168,72.984,8.182,62.866,8.277
12659.505,72.984,8.194,62.867,8.270
12659.841,72.986,8.204,62.869,8.262
12660.178,72.989,8.204,62.869,8.251
12660.515,72.993,8.189,62.869,8.241
12660.851,72.995,8.160,62.868,8.233
12661.188,72.995,8.125,62.866,8.231
12661.523,72.991,8.096,62.865,8.239
12661.860,72.985,8.086,62.864,8.252
12662.196,72.980,8.100,62.866,8.267
12662.533,72.977,8.134,62.868,8.273
12662.869,72.977,8.175,62.871,8.267
12663.206,72.981,8.206,62.872,8.251
12663.542,72.986,8.215,62.872,8.231
12663.879,72.991,8.202,62.870,8.216
12664.215,72.993,8.176,62.867,8.209
12664.552,72.992,8.153,62.864,8.213
12664.888,72.989,8.144,62.862,8.223
12665.225,72.987,8.151,62.860,8.235
12665.561,72.986,8.165,62.860,8.247
12665.897,72.988,8.174,62.860,8.258
12666.234,72.989,8.168,62.860,8.269
12666.570,72.990,8.151,62.862,8.277
12666.907,72.988,8.133,62.864,8.282
12667.243,72.985,8.125,62.866,8.280
12667.580,72.981,8.133,62.868,8.271
12667.916,72.980,8.150,62.870,8.255
12668.253,72.981,8.164,62.871,8.234
12668.589,72.982,8.166,62.871,8.211
12668.926,72.983,8.154,62.869,8.193
12669.262,72.982,8.139,62.866,8.182
12669.599,72.979,8.132,62.864,8.182
12669.935,72.976,8.140,62.862,8.192
12670.271,72.975,8.161,62.861,8.206
12670.607,72.977,8.182,62.863,8.218
12670.944,72.981,8.190,62.865,8.221
12671.281,72.985,8.180,62.867,8.214
12671.617,72.987,8.153,62.868,8.200
12671.954,72.987,8.122,62.867,8.187
12672.290,72.985,8.098,62.866,8.180
12672.627,72.982,8.087,62.865,8.180
12672.963,72.979,8.088,62.864,8.185
12673.300,72.978,8.096,62.864,8.189
12673.636,72.979,8.102,62.865,8.188
12673.973,72.980,8.102,62.865,8.183
12674.309,72.981,8.096,62.865,8.175
12674.646,72.981,8.084,62.864,8.168
12674.981,72.981,8.073,62.863,8.163
12675.318,72.980,8.065,62.862,8.161
12675.654,72.979,8.061,62.861,8.162
12675.991,72.978,8.061,62.860,8.164
12676.328,72.977,8.064,62.860,8.168
12676.664,72.977,8.070,62.861,8.171
12677.001,72.977,8.078,62.863,8.169
12677.337,72.978,8.089,62.864,8.158
12677.674,72.980,8.100,62.865,8.138
12678.010,72.983,8.106,62.864,8.116
12678.347,72.987,8.103,62.861,8.101
12678.683,72.990,8.088,62.857,8.103
12679.020,72.992,8.064,62.855,8.121
12679.355,72.991,8.039,62.855,8.146
12679.692,72.989,8.025,62.859,8.164
12680.028,72.986,8.026,62.863,8.163
12680.365,72.984,8.043,62.866,8.143
12680.701,72.985,8.063,62.866,8.115
12681.038,72.987,8.074,62.864,8.096
12681.374,72.991,8.066,62.860,8.096
12681.711,72.992,8.043,62.857,8.113
12682.048,72.991,8.016,62.857,8.137
12682.384,72.986,8.000,62.859,8.154
12682.721,72.981,8.005,62.862,8.157
12683.057,72.977,8.029,62.864,8.149
12683.394,72.976,8.062,62.864,8.140
12683.729,72.979,8.088,62.864,8.138
12684.066,72.983,8.098,62.864,8.142
12684.402,72.986,8.090,62.867,8.141
12684.739,72.988,8.070,62.870,8.127
12685.075,72.988,8.050,62.872,8.095
12685.412,72.987,8.037,62.871,8.054
12685.748,72.986,8.033,62.867,8.017
12686.085,72.987,8.032,62.860,7.997
12686.421,72.988,8.025,62.854,8.000
12686.758,72.990,8.008,62.850,8.020
12687.094,72.991,7.980,62.848,8.046
12687.431,72.989,7.950,62.849,8.068
12687.768,72.986,7.929,62.851,8.079
12688.104,72.981,7.927,62.854,8.080
12688.440,72.977,7.948,62.856,8.074
12688.776,72.975,7.985,62.857,8.065
12689.113,72.979,8.022,62.858,8.056
12689.449,72.985,8.043,62.859,8.047
12689.786,72.992,8.036,62.859,8.039
12690.122,72.998,8.004,62.859,8.033
12690.459,72.999,7.962,62.858,8.030
12690.795,72.996,7.930,62.857,8.031
12691.132,72.992,7.920,62.856,8.037
12691.468,72.989,7.934,62.856,8.050
12691.805,72.988,7.957,62.856,8.067
12692.141,72.991,7.972,62.857,8.088
12692.478,72.994,7.966,62.860,8.106
12692.814,72.996,7.942,62.864,8.114
12693.150,72.994,7.914,62.869,8.109
12693.487,72.988,7.898,62.872,8.090
12693.823,72.982,7.905,62.873,8.063
12694.160,72.977,7.932,62.872,8.035
12694.496,72.975,7.969,62.869,8.014
12694.833,72.976,8.004,62.865,8.006
12695.169,72.978,8.028,62.861,8.010
12695.506,72.982,8.039,62.858,8.025
12695.842,72.986,8.038,62.856,8.046
12696.179,72.989,8.026,62.857,8.066
12696.515,72.991,8.003,62.859,8.079
12696.852,72.992,7.971,62.863,8.077
12697.188,72.990,7.939,62.866,8.057
12697.524,72.986,7.917,62.866,8.025
12697.861,72.981,7.913,62.864,7.994
12698.197,72.978,7.927,62.859,7.976
12698.534,72.978,7.947,62.854,7.981
12698.870,72.980,7.958,62.851,8.006
12699.207,72.983,7.951,62.852,8.036
12699.543,72.985,7.928,62.856,8.053
12699.880,72.984,7.903,62.861,8.046
12700.216,72.981,7.891,62.864,8.018
12700.553,72.978,7.899,62.864,7.983
12700.889,72.978,7.919,62.861,7.959
12701.226,72.980,7.937,62.857,7.957
12701.562,72.985,7.939,62.854,7.974
12701.898,72.988,7.922,62.855,7.995
12702.234,72.989,7.897,62.858,8.005
12702.571,72.988,7.878,62.862,7.998
12702.907,72.985,7.877,62.863,7.979
12703.244,72.983,7.895,62.862,7.961
12703.581,72.984,7.919,62.861,7.958
12703.917,72.987,7.936,62.860,7.968
12704.254,72.991,7.937,62.861,7.983
12704.590,72.995,7.922,62.865,7.987
12704.927,72.996,7.900,62.869,7.970
12705.263,72.995,7.883,62.871,7.936
12705.600,72.993,7.877,62.869,7.900
12705.936,72.992,7.881,62.865,7.879
12706.272,72.991,7.888,62.859,7.885
12706.608,72.992,7.891,62.855,7.914
12706.945,72.992,7.887,62.856,7.949
12707.281,72.992,7.878,62.859,7.973
12707.618,72.991,7.872,62.864,7.976
12707.954,72.988,7.873,62.866,7.963
12708.291,72.986,7.884,62.866,7.952
12708.627,72.986,7.900,62.864,7.956
12708.964,72.987,7.913,62.863,7.978
12709.301,72.990,7.916,62.866,8.004
12709.637,72.992,7.905,62.872,8.015
12709.974,72.993,7.884,62.878,7.999
12710.310,72.992,7.862,62.882,7.958
12710.646,72.989,7.848,62.881,7.911
12710.982,72.985,7.845,62.876,7.880
12711.319,72.983,7.855,62.869,7.876
12711.655,72.981,7.869,62.865,7.893
12711.992,72.981,7.883,62.863,7.917
12712.328,72.983,7.892,62.863,7.931
12712.665,72.984,7.895,62.864,7.933
12713.001,72.986,7.892,62.864,7.929
12713.338,72.988,7.883,62.862,7.930
12713.674,72.989,7.869,62.861,7.939
12714.011,72.990,7.849,62.861,7.951
12714.348,72.989,7.828,62.863,7.955
12714.684,72.987,7.810,62.866,7.945
12715.021,72.984,7.801,62.866,7.926
12715.356,72.982,7.804,62.865,7.909
12715.693,72.981,7.816,62.863,7.904
12716.029,72.981,7.828,62.862,7.911
12716.366,72.983,7.833,62.863,7.920
12716.702,72.986,7.826,62.867,7.921
12717.039,72.988,7.809,62.870,7.907
12717.375,72.988,7.790,62.872,7.881
12717.712,72.986,7.776,62.872,7.855
12718.048,72.985,7.769,62.870,7.837
12718.385,72.984,7.768,62.869,7.830
12718.721,72.983,7.770,62.868,7.829
12719.058,72.982,7.772,62.867,7.828
12719.395,72.981,7.776,62.867,7.825
12719.730,72.980,7.783,62.866,7.823
12720.067,72.979,7.798,62.865,7.826
12720.403,72.979,7.819,62.864,7.836
12720.740,72.981,7.842,62.864,7.847
12721.076,72.984,7.860,62.865,7.855
12721.413,72.989,7.865,62.866,7.855
12721.749,72.993,7.855,62.866,7.851
12722.086,72.995,7.832,62.865,7.849
12722.422,72.996,7.805,62.864,7.854
12722.759,72.994,7.780,62.863,7.866
12723.095,72.990,7.766,62.864,7.879
12723.432,72.987,7.765,62.866,7.883
12723.768,72.984,7.774,62.868,7.876
12724.104,72.982,7.787,62.868,7.861
12724.440,72.982,7.798,62.867,7.846
12724.777,72.982,7.803,62.864,7.840
12725.114,72.983,7.802,62.862,7.843
12725.450,72.983,7.797,62.861,7.854
12725.787,72.982,7.791,62.861,7.864
12726.123,72.982,7.788,62.863,7.868
12726.460,72.983,7.786,62.864,7.865
12726.796,72.983,7.781,62.865,7.857
12727.133,72.985,7.771,62.865,7.847
12727.469,72.986,7.756,62.864,7.840
12727.806,72.986,7.738,62.863,7.838
12728.142,72.986,7.721,62.862,7.839
12728.479,72.985,7.709,62.862,7.843
12728.814,72.984,7.699,62.863,7.846
12729.151,72.984,7.690,62.864,7.845
12729.487,72.983,7.681,62.865,7.837
12729.824,72.982,7.674,62.866,7.824
12730.160,72.980,7.673,62.865,7.808
12730.497,72.978,7.685,62.863,7.795
12730.834,72.978,7.708,62.861,7.787
12731.170,72.979,7.735,62.858,7.788
12731.507,72.984,7.755,62.856,7.792
12731.843,72.989,7.759,62.855,7.798
12732.180,72.994,7.744,62.854,7.803
12732.516,72.997,7.716,62.853,7.808
12732.853,72.997,7.687,62.852,7.815
12733.188,72.994,7.667,62.852,7.827
12733.525,72.991,7.662,62.852,7.844
12733.861,72.988,7.668,62.854,7.861
12734.198,72.987,7.677,62.858,7.871
12734.534,72.986,7.685,62.862,7.871
12734.871,72.985,7.688,62.866,7.859
12735.207,72.984,7.691,62.870,7.838
12735.544,72.982,7.696,62.871,7.813
12735.881,72.981,7.708,62.872,7.788
12736.217,72.981,7.721,62.871,7.768
12736.554,72.982,7.731,62.870,7.754
12736.890,72.983,7.732,62.869,7.746
12737.227,72.984,7.725,62.867,7.742
12737.562,72.983,7.714,62.866,7.743
12737.899,72.981,7.707,62.865,7.746
12738.235,72.979,7.709,62.865,7.750
12738.572,72.978,7.719,62.865,7.755
12738.908,72.979,7.731,62.865,7.760
12739.245,72.981,7.736,62.865,7.766
12739.581,72.983,7.729,62.865,7.770
12739.918,72.985,7.711,62.866,7.772
12740.254,72.985,7.689,62.867,7.769
12740.591,72.984,7.672,62.868,7.760
12740.928,72.981,7.663,62.868,7.749
12741.264,72.980,7.663,62.867,7.738
12741.601,72.979,7.666,62.865,7.732
12741.937,72.979,7.667,62.864,7.730
12742.273,72.979,7.665,62.863,7.730
12742.609,72.979,7.663,62.862,7.728
12742.946,72.978,7.663,62.861,7.726
12743.282,72.978,7.669,62.859,7.725
12743.619,72.979,7.678,62.858,7.731
12743.955,72.981,7.684,62.858,7.742
12744.292,72.983,7.683,62.859,7.755
12744.628,72.986,7.674,62.862,7.759
12744.965,72.987,7.662,62.866,7.750
12745.301,72.987,7.652,62.868,7.727
12745.638,72.986,7.649,62.868,7.700
12745.974,72.986,7.651,62.866,7.681
12746.311,72.987,7.655,62.863,7.676
12746.647,72.988,7.655,62.861,7.684
12746.983,72.989,7.650,62.861,7.694
12747.320,72.989,7.643,62.863,7.697
12747.656,72.988,7.640,62.864,7.688
12747.993,72.987,7.644,62.863,7.675
12748.329,72.987,7.652,62.860,7.669
12748.666,72.988,7.657,62.857,7.678
12749.002,72.989,7.653,62.856,7.700
12749.339,72.990,7.641,62.856,7.724
12749.675,72.988,7.627,62.859,7.737
12750.012,72.984,7.622,62.862,7.737
12750.348,72.981,7.632,62.863,7.729
12750.685,72.978,7.657,62.863,7.723
12751.021,72.978,7.688,62.863,7.724
12751.357,72.982,7.711,62.864,7.729
12751.693,72.986,7.715,62.867,7.729
12752.030,72.991,7.700,62.870,7.715
12752.367,72.994,7.669,62.872,7.686
12752.703,72.994,7.634,62.871,7.654
12753.040,72.992,7.605,62.868,7.632
12753.376,72.989,7.589,62.864,7.628
12753.713,72.986,7.583,62.862,7.638
12754.049,72.984,7.584,62.863,7.648
12754.386,72.984,7.586,62.865,7.644
12754.722,72.985,7.583,62.867,7.624
12755.059,72.986,7.575,62.866,7.595
12755.395,72.986,7.562,62.863,7.575
12755.731,72.985,7.548,62.858,7.576
12756.067,72.984,7.539,62.854,7.597
12756.404,72.982,7.538,62.855,7.628
12756.740,72.980,7.546,62.858,7.651
12757.077,72.979,7.563,62.863,7.652
12757.414,72.980,7.580,62.867,7.632
12757.750,72.982,7.594,62.867,7.603
12758.087,72.985,7.599,62.865,7.580
12758.423,72.988,7.596,62.861,7.574
12758.760,72.989,7.588,62.858,7.587
12759.096,72.990,7.580,62.857,7.611
12759.433,72.990,7.576,62.858,7.634
12759.769,72.990,7.574,62.860,7.648
12760.105,72.990,7.573,62.863,7.653
12760.441,72.991,7.570,62.865,7.651
12760.778,72.991,7.562,62.866,7.648
12761.114,72.990,7.551,62.868,7.645
12761.451,72.989,7.541,62.869,7.641
12761.787,72.987,7.534,62.870,7.632
12762.124,72.985,7.533,62.870,7.619
12762.461,72.983,7.536,62.868,7.606
12762.797,72.983,7.540,62.866,7.602
12763.134,72.983,7.543,62.863,7.611
12763.470,72.983,7.542,62.862,7.629
12763.807,72.984,7.536,62.864,7.647
12764.143,72.984,7.526,62.867,7.650
12764.479,72.983,7.513,62.871,7.633
12764.815,72.982,7.501,62.872,7.599
12765.152,72.980,7.495,62.869,7.563
12765.488,72.977,7.497,62.864,7.541
12765.825,72.975,7.510,62.858,7.544
12766.161,72.974,7.532,62.854,7.565
12766.498,72.975,7.558,62.854,7.592
12766.834,72.979,7.579,62.857,7.607
12767.171,72.984,7.588,62.860,7.603
12767.507,72.989,7.581,62.862,7.584
12767.844,72.993,7.560,62.862,7.560
12768.181,72.995,7.530,62.861,7.545
12768.517,72.995,7.500,62.859,7.542
12768.854,72.993,7.476,62.859,7.545
12769.189,72.990,7.460,62.859,7.545
12769.526,72.986,7.452,62.861,7.537
12769.862,72.983,7.451,62.861,7.524
12770.199,72.980,7.457,62.859,7.515
12770.535,72.977,7.471,62.857,7.520
12770.872,72.975,7.490,62.856,7.540
12771.208,72.976,7.509,62.857,7.565
12771.545,72.978,7.521,62.861,7.580
12771.881,72.980,7.521,62.866,7.576
12772.218,72.982,7.508,62.869,7.553
12772.554,72.983,7.487,62.869,7.525
12772.891,72.981,7.470,62.865,7.510
12773.227,72.979,7.463,62.860,7.520
12773.563,72.977,7.468,62.857,7.555
12773.900,72.977,7.479,62.858,7.596
12774.236,72.979,7.488,62.862,7.624
12774.573,72.982,7.488,62.868,7.624
12774.909,72.985,7.479,62.872,7.599
12775.246,72.987,7.465,62.872,7.563
12775.582,72.988,7.449,62.868,7.536
12775.919,72.989,7.433,62.863,7.532
12776.255,72.989,7.417,62.860,7.547
12776.592,72.989,7.402,62.859,7.568
12776.928,72.987,7.392,62.861,7.578
12777.265,72.984,7.394,62.864,7.570
12777.601,72.981,7.409,62.865,7.547
12777.938,72.980,7.434,62.864,7.520
12778.273,72.982,7.461,62.862,7.501
12778.610,72.985,7.478,62.859,7.496
12778.947,72.988,7.479,62.857,7.500
12779.283,72.990,7.468,62.856,7.507
12779.620,72.990,7.454,62.857,7.511
12779.956,72.988,7.447,62.858,7.511
12780.293,72.986,7.452,62.859,7.512
12780.629,72.984,7.466,62.861,7.513
12780.966,72.984,7.481,62.864,7.513
12781.302,72.985,7.490,62.867,7.507
12781.639,72.986,7.491,62.870,7.493
12781.975,72.987,7.486,62.873,7.470
12782.312,72.988,7.475,62.873,7.443
12782.647,72.988,7.462,62.872,7.421
12782.984,72.988,7.448,62.870,7.409
12783.320,72.987,7.432,62.867,7.407
12783.657,72.985,7.417,62.865,7.415
12783.994,72.983,7.409,62.863,7.429
12784.330,72.981,7.407,62.863,7.446
12784.667,72.980,7.411,62.863,7.463
12785.003,72.981,7.413,62.865,7.474
12785.340,72.983,7.408,62.867,7.475
12785.676,72.984,7.394,62.868,7.466
12786.013,72.985,7.373,62.868,7.448
12786.349,72.984,7.355,62.866,7.429
12786.686,72.982,7.348,62.861,7.419
12787.021,72.980,7.355,62.856,7.424
12787.358,72.980,7.370,62.853,7.446
12787.694,72.983,7.383,62.851,7.476
12788.031,72.987,7.383,62.853,7.503
12788.367,72.991,7.367,62.857,7.515
12788.704,72.992,7.338,62.861,7.507
12789.040,72.991,7.310,62.865,7.484
12789.377,72.987,7.295,62.866,7.456
12789.714,72.982,7.302,62.865,7.431
12790.050,72.979,7.330,62.864,7.415
12790.387,72.980,7.367,62.864,7.407
12790.723,72.983,7.395,62.865,7.400
12791.060,72.989,7.403,62.866,7.386
12791.396,72.993,7.388,62.867,7.366
12791.732,72.996,7.359,62.866,7.347
12792.068,72.994,7.332,62.864,7.337
12792.405,72.992,7.317,62.862,7.342
12792.741,72.989,7.318,62.861,7.359
12793.078,72.987,7.328,62.863,7.378
12793.414,72.988,7.334,62.867,7.387
12793.751,72.989,7.331,62.871,7.379
12794.087,72.989,7.319,62.873,7.358
12794.424,72.988,7.307,62.872,7.338
12794.760,72.985,7.304,62.869,7.329
12795.097,72.983,7.313,62.865,7.337
12795.434,72.983,7.329,62.863,7.357
12795.770,72.985,7.342,62.862,7.379
12796.106,72.988,7.343,62.861,7.397
12796.442,72.991,7.331,62.861,7.412
12796.779,72.992,7.311,62.860,7.430
12797.115,72.992,7.295,62.860,7.453
12797.452,72.990,7.286,62.861,7.475
12797.788,72.990,7.285,62.864,7.487
12798.125,72.990,7.286,62.867,7.481
12798.461,72.991,7.282,62.869,7.460
12798.798,72.991,7.272,62.866,7.438
12799.134,72.990,7.260,62.862,7.433
12799.471,72.988,7.255,62.859,7.449
12799.807,72.985,7.262,62.859,7.478
12800.144,72.983,7.281,62.863,7.497
12800.480,72.983,7.306,62.869,7.489
12800.816,72.985,7.328,62.874,7.450
12801.153,72.989,7.338,62.874,7.398
12801.489,72.992,7.335,62.871,7.356
12801.826,72.994,7.322,62.866,7.341
12802.162,72.995,7.308,62.862,7.349
12802.499,72.994,7.298,62.863,7.362
12802.835,72.992,7.295,62.866,7.360
12803.172,72.992,7.298,62.869,7.334
12803.508,72.992,7.300,62.869,7.294
12803.845,72.992,7.298,62.865,7.261
12804.181,72.992,7.291,62.859,7.255
12804.518,72.991,7.281,62.854,7.277
12804.854,72.990,7.274,62.853,7.315
12805.190,72.988,7.270,62.856,7.347
12805.527,72.986,7.271,62.862,7.358
12805.863,72.984,7.275,62.866,7.345
12806.200,72.983,7.280,62.868,7.321
12806.536,72.982,7.287,62.867,7.300
12806.873,72.982,7.296,62.864,7.295
12807.209,72.983,7.305,62.862,7.305
12807.546,72.985,7.311,62.862,7.322
12807.882,72.989,7.307,62.863,7.336
12808.219,72.992,7.291,62.864,7.341
12808.555,72.993,7.264,62.865,7.336
12808.892,72.993,7.233,62.864,7.330
12809.228,72.991,7.209,62.862,7.330
12809.564,72.988,7.198,62.860,7.341
12809.900,72.985,7.202,62.859,7.361
12810.237,72.984,7.213,62.861,7.382
12810.573,72.985,7.223,62.864,7.394
12810.910,72.987,7.225,62.867,7.390
12811.247,72.989,7.218,62.870,7.371
12811.583,72.990,7.207,62.870,7.346
12811.920,72.990,7.199,62.868,7.326
12812.256,72.989,7.197,62.865,7.319
12812.593,72.989,7.201,62.863,7.325
12812.929,72.990,7.206,62.863,7.334
12813.266,72.992,7.208,62.865,7.337
12813.602,72.994,7.204,62.867,7.327
12813.938,72.996,7.193,62.868,7.307
12814.274,72.996,7.179,62.868,7.288
12814.611,72.996,7.165,62.866,7.276
12814.947,72.994,7.155,62.865,7.272
12815.284,72.992,7.151,62.865,7.268
12815.620,72.990,7.154,62.866,7.257
12815.957,72.988,7.161,62.866,7.238
12816.293,72.986,7.172,62.863,7.220
12816.630,72.985,7.184,62.858,7.218
12816.967,72.985,7.196,62.854,7.242
12817.303,72.985,7.209,62.852,7.287
12817.640,72.986,7.221,62.856,7.334
12817.976,72.988,7.231,62.864,7.362
12818.312,72.990,7.234,62.872,7.354
12818.648,72.993,7.227,62.879,7.316
12818.985,72.996,7.207,62.881,7.265
12819.321,72.997,7.179,62.878,7.224
12819.658,72.996,7.150,62.873,7.206
12819.994,72.993,7.126,62.868,7.210
12820.331,72.990,7.112,62.866,7.224
12820.667,72.987,7.107,62.866,7.236
12821.004,72.985,7.108,62.867,7.237
12821.340,72.983,7.109,62.867,7.231
12821.677,72.982,7.109,62.866,7.225
12822.014,72.981,7.111,62.865,7.222
12822.350,72.981,7.115,62.864,7.222
12822.687,72.981,7.119,62.864,7.220
12823.022,72.982,7.121,62.863,7.213
12823.359,72.984,7.115,62.862,7.205
12823.695,72.984,7.103,62.861,7.200
12824.032,72.984,7.091,62.859,7.203
12824.368,72.982,7.087,62.859,7.211
12824.705,72.980,7.097,62.861,7.215
12825.041,72.980,7.116,62.864,7.209
12825.378,72.982,7.134,62.866,7.191
12825.714,72.986,7.140,62.867,7.166
12826.051,72.990,7.131,62.865,7.146
12826.387,72.991,7.113,62.863,7.136
12826.724,72.991,7.098,62.862,7.138
12827.061,72.989,7.096,62.862,7.141
12827.396,72.989,7.105,62.862,7.141
12827.733,72.990,7.116,62.862,7.137
12828.069,72.992,7.119,62.861,7.135
12828.406,72.993,7.111,62.859,7.145
12828.742,72.993,7.096,62.858,7.169
12829.079,72.991,7.087,62.861,7.198
12829.415,72.989,7.093,62.865,7.215
12829.752,72.988,7.111,62.871,7.208
12830.088,72.989,7.129,62.875,7.177
12830.425,72.992,7.136,62.874,7.137
12830.761,72.995,7.125,62.869,7.110
12831.098,72.995,7.102,62.862,7.113
12831.434,72.994,7.080,62.857,7.146
12831.771,72.991,7.070,62.857,7.193
12832.106,72.988,7.074,62.861,7.229
12832.443,72.986,7.086,62.868,7.234
12832.780,72.987,7.094,62.874,7.205
12833.116,72.988,7.092,62.875,7.158
12833.453,72.988,7.084,62.872,7.115
12833.789,72.988,7.075,62.865,7.098
12834.126,72.986,7.074,62.859,7.112
12834.462,72.986,7.082,62.857,7.147
12834.799,72.987,7.090,62.859,7.182
12835.135,72.990,7.090,62.864,7.198
12835.472,72.993,7.077,62.870,7.185
12835.808,72.994,7.053,62.874,7.151
12836.145,72.992,7.030,62.873,7.113
12836.480,72.989,7.018,62.870,7.089
12836.817,72.986,7.023,62.865,7.090
12837.153,72.984,7.042,62.863,7.113
12837.490,72.985,7.064,62.863,7.145
12837.826,72.987,7.080,62.868,7.167
12838.163,72.991,7.082,62.873,7.168
12838.500,72.993,7.071,62.878,7.147
12838.836,72.994,7.054,62.879,7.115
12839.173,72.994,7.039,62.877,7.086
12839.509,72.992,7.030,62.873,7.072
12839.846,72.991,7.027,62.869,7.076
12840.182,72.990,7.024,62.866,7.094
12840.519,72.989,7.018,62.865,7.117
12840.854,72.988,7.008,62.865,7.136
12841.191,72.985,7.000,62.867,7.145
12841.527,72.982,6.997,62.869,7.143
12841.864,72.979,7.003,62.870,7.133
12842.200,72.978,7.015,62.869,7.117
12842.537,72.977,7.028,62.867,7.103
12842.873,72.978,7.035,62.864,7.096
12843.210,72.979,7.035,62.861,7.102
12843.547,72.980,7.032,62.858,7.119
12843.883,72.980,7.029,62.859,7.139
12844.220,72.981,7.026,62.862,7.150
12844.556,72.983,7.022,62.865,7.141
12844.893,72.985,7.013,62.868,7.113
12845.229,72.986,6.999,62.867,7.077
12845.565,72.986,6.983,62.863,7.050
12845.901,72.986,6.973,62.857,7.048
12846.238,72.985,6.974,62.854,7.072
12846.574,72.985,6.984,62.854,7.108
12846.911,72.987,6.998,62.859,7.134
12847.247,72.991,7.002,62.866,7.129
12847.584,72.995,6.992,62.872,7.093
12847.920,72.998,6.969,62.873,7.040
12848.257,72.998,6.940,62.870,6.995
12848.594,72.996,6.919,62.863,6.977
12848.930,72.992,6.914,62.858,6.989
12849.267,72.988,6.928,62.856,7.016
12849.603,72.987,6.952,62.857,7.036
12849.939,72.988,6.976,62.860,7.038
12850.275,72.990,6.989,62.861,7.025
12850.612,72.993,6.986,62.860,7.010
12850.948,72.994,6.971,62.856,7.010
12851.285,72.992,6.952,62.854,7.028
12851.621,72.989,6.940,62.855,7.052
12851.958,72.984,6.944,62.858,7.066
12852.294,72.981,6.963,62.862,7.060
12852.631,72.979,6.992,62.863,7.039
12852.967,72.981,7.017,62.861,7.020
12853.304,72.985,7.028,62.858,7.022
12853.640,72.989,7.019,62.856,7.046
12853.977,72.991,6.994,62.858,7.079
12854.313,72.991,6.961,62.864,7.097
12854.649,72.989,6.932,62.871,7.083
12854.986,72.986,6.916,62.876,7.039
12855.322,72.982,6.914,62.875,6.984
12855.659,72.980,6.922,62.870,6.944
12855.995,72.980,6.932,62.862,6.936
12856.332,72.980,6.936,62.856,6.961
12856.668,72.982,6.934,62.854,7.001
12857.005,72.983,6.926,62.856,7.034
12857.341,72.983,6.918,62.860,7.048
12857.678,72.982,6.914,62.864,7.040
12858.014,72.982,6.915,62.865,7.023
12858.351,72.982,6.919,62.864,7.009
12858.687,72.983,6.923,62.862,7.008
