* Freq(Hz), SPL(dB), Phase(degrees)
8959.270, -3.948, 29.361
8959.637, -3.948, 29.362
8960.002, -3.948, 29.363
8960.369, -3.948, 29.365
8960.734, -3.948, 29.366
8961.102, -3.948, 29.367
8961.467, -3.948, 29.369
8961.834, -3.948, 29.370
8962.199, -3.948, 29.371
8962.566, -3.948, 29.371
8962.932, -3.948, 29.372
8963.299, -3.948, 29.373
8963.664, -3.948, 29.375
8964.031, -3.948, 29.376
8964.396, -3.948, 29.377
8964.764, -3.948, 29.378
8965.129, -3.948, 29.379
8965.496, -3.948, 29.381
8965.861, -3.948, 29.382
8966.229, -3.948, 29.383
8966.594, -3.948, 29.384
8966.961, -3.948, 29.385
8967.326, -3.948, 29.387
8967.693, -3.948, 29.388
8968.059, -3.948, 29.389
8968.426, -3.948, 29.390
8968.791, -3.948, 29.391
8969.158, -3.948, 29.392
8969.523, -3.948, 29.393
8969.891, -3.948, 29.394
8970.256, -3.948, 29.396
8970.623, -3.948, 29.397
8970.988, -3.948, 29.398
8971.355, -3.948, 29.399
8971.721, -3.948, 29.400
8972.088, -3.948, 29.401
8972.453, -3.948, 29.403
8972.820, -3.948, 29.404
8973.186, -3.948, 29.405
8973.553, -3.948, 29.407
8973.918, -3.948, 29.408
8974.285, -3.948, 29.409
8974.650, -3.948, 29.410
8975.018, -3.948, 29.411
8975.383, -3.948, 29.412
8975.750, -3.948, 29.414
8976.115, -3.948, 29.415
8976.482, -3.948, 29.416
8976.848, -3.948, 29.417
8977.215, -3.948, 29.418
8977.580, -3.948, 29.419
8977.947, -3.948, 29.420
8978.312, -3.948, 29.422
8978.680, -3.948, 29.423
8979.045, -3.948, 29.425
8979.412, -3.948, 29.426
8979.777, -3.948, 29.427
8980.145, -3.948, 29.428
8980.510, -3.948, 29.429
8980.877, -3.948, 29.430
8981.244, -3.948, 29.432
8981.609, -3.948, 29.433
8981.977, -3.948, 29.434
8982.342, -3.948, 29.435
8982.709, -3.948, 29.436
8983.074, -3.948, 29.437
8983.441, -3.948, 29.438
8983.807, -3.948, 29.440
8984.174, -3.948, 29.441
8984.539, -3.948, 29.442
8984.906, -3.948, 29.443
8985.271, -3.948, 29.444
8985.639, -3.948, 29.445
8986.004, -3.948, 29.446
8986.371, -3.948, 29.447
8986.736, -3.948, 29.449
8987.104, -3.948, 29.451
8987.469, -3.948, 29.452
8987.836, -3.948, 29.453
8988.201, -3.948, 29.454
8988.568, -3.948, 29.455
8988.934, -3.948, 29.456
8989.301, -3.948, 29.457
8989.666, -3.948, 29.458
8990.033, -3.948, 29.460
8990.398, -3.948, 29.461
8990.766, -3.948, 29.462
8991.131, -3.948, 29.463
8991.498, -3.948, 29.465
8991.863, -3.948, 29.466
8992.230, -3.948, 29.467
8992.596, -3.948, 29.468
8992.963, -3.948, 29.469
8993.328, -3.948, 29.470
8993.695, -3.948, 29.471
8994.061, -3.948, 29.473
8994.428, -3.948, 29.474
8994.793, -3.948, 29.475
8995.160, -3.948, 29.476
8995.525, -3.948, 29.477
8995.893, -3.948, 29.478
8996.258, -3.948, 29.479
8996.625, -3.948, 29.481
8996.990, -3.948, 29.483
8997.357, -3.948, 29.484
8997.723, -3.948, 29.485
8998.090, -3.948, 29.487
8998.455, -3.948, 29.488
8998.822, -3.948, 29.489
8999.188, -3.948, 29.490
8999.555, -3.948, 29.491
8999.920, -3.948, 29.491
9000.287, -3.948, 29.492
9000.652, -3.948, 29.493
9001.020, -3.948, 29.494
9001.385, -3.948, 29.496
9001.752, -3.948, 29.497
9002.117, -3.948, 29.498
9002.484, -3.948, 29.499
9002.850, -3.948, 29.500
9003.217, -3.948, 29.501
9003.582, -3.948, 29.503
9003.949, -3.948, 29.504
9004.314, -3.948, 29.505
9004.682, -3.948, 29.506
9005.047, -3.948, 29.507
9005.414, -3.948, 29.508
9005.779, -3.948, 29.510
9006.146, -3.948, 29.511
9006.512, -3.948, 29.512
9006.879, -3.948, 29.513
9007.244, -3.948, 29.514
9007.611, -3.948, 29.516
9007.977, -3.948, 29.517
9008.344, -3.948, 29.518
9008.709, -3.948, 29.520
9009.076, -3.948, 29.521
9009.441, -3.948, 29.522
9009.809, -3.948, 29.523
9010.174, -3.948, 29.524
9010.541, -3.948, 29.525
9010.906, -3.948, 29.526
9011.273, -3.948, 29.528
9011.639, -3.948, 29.529
9012.006, -3.948, 29.530
9012.371, -3.948, 29.532
9012.738, -3.948, 29.533
9013.104, -3.948, 29.534
9013.471, -3.948, 29.535
9013.836, -3.948, 29.536
9014.203, -3.948, 29.537
9014.568, -3.948, 29.538
9014.936, -3.948, 29.540
9015.301, -3.948, 29.541
9015.668, -3.948, 29.542
9016.033, -3.948, 29.543
9016.400, -3.948, 29.544
9016.766, -3.948, 29.545
9017.133, -3.948, 29.546
9017.498, -3.948, 29.547
9017.865, -3.948, 29.549
9018.230, -3.948, 29.550
9018.598, -3.948, 29.551
9018.963, -3.948, 29.552
9019.330, -3.948, 29.553
9019.695, -3.948, 29.554
9020.062, -3.948, 29.555
9020.428, -3.948, 29.557
9020.795, -3.948, 29.558
9021.160, -3.948, 29.560
9021.527, -3.948, 29.561
9021.893, -3.948, 29.562
9022.260, -3.948, 29.563
9022.625, -3.948, 29.564
9022.992, -3.948, 29.565
9023.357, -3.948, 29.566
9023.725, -3.948, 29.568
9024.090, -3.948, 29.569
9024.457, -3.948, 29.570
9024.822, -3.948, 29.571
9025.189, -3.948, 29.572
9025.555, -3.948, 29.573
9025.922, -3.948, 29.574
9026.287, -3.948, 29.576
9026.654, -3.948, 29.577
9027.020, -3.948, 29.578
9027.387, -3.948, 29.579
9027.752, -3.948, 29.581
9028.119, -3.948, 29.582
9028.484, -3.948, 29.583
9028.852, -3.948, 29.584
9029.217, -3.948, 29.585
9029.584, -3.948, 29.586
9029.949, -3.948, 29.588
9030.316, -3.948, 29.589
9030.682, -3.948, 29.590
9031.049, -3.948, 29.591
9031.414, -3.948, 29.592
9031.781, -3.948, 29.593
9032.146, -3.948, 29.594
9032.514, -3.948, 29.595
9032.879, -3.948, 29.597
9033.246, -3.948, 29.598
9033.611, -3.948, 29.600
9033.979, -3.948, 29.601
9034.344, -3.948, 29.602
9034.711, -3.948, 29.603
9035.076, -3.948, 29.604
9035.443, -3.948, 29.605
9035.809, -3.948, 29.606
9036.176, -3.948, 29.607
9036.541, -3.948, 29.608
9036.908, -3.948, 29.609
9037.273, -3.948, 29.610
9037.641, -3.948, 29.611
9038.006, -3.948, 29.613
9038.373, -3.948, 29.614
9038.738, -3.948, 29.615
9039.105, -3.948, 29.616
9039.471, -3.948, 29.618
9039.838, -3.948, 29.619
9040.203, -3.948, 29.620
9040.570, -3.948, 29.621
9040.936, -3.948, 29.622
9041.303, -3.948, 29.623
9041.668, -3.948, 29.624
9042.035, -3.948, 29.625
9042.400, -3.948, 29.627
9042.768, -3.948, 29.628
9043.133, -3.948, 29.629
9043.500, -3.948, 29.630
9043.865, -3.948, 29.632
9044.232, -3.948, 29.633
9044.598, -3.948, 29.634
9044.965, -3.948, 29.636
9045.330, -3.948, 29.637
9045.697, -3.948, 29.638
9046.062, -3.948, 29.639
9046.430, -3.948, 29.640
9046.795, -3.948, 29.641
9047.162, -3.948, 29.642
9047.527, -3.948, 29.643
9047.895, -3.948, 29.644
9048.260, -3.948, 29.646
9048.627, -3.948, 29.647
9048.992, -3.948, 29.648
9049.359, -3.948, 29.650
9049.725, -3.948, 29.651
9050.092, -3.948, 29.652
9050.457, -3.948, 29.653
9050.824, -3.948, 29.654
9051.189, -3.948, 29.656
9051.557, -3.948, 29.657
9051.922, -3.948, 29.658
9052.289, -3.948, 29.659
9052.654, -3.948, 29.660
9053.021, -3.948, 29.661
9053.387, -3.948, 29.662
9053.754, -3.948, 29.663
9054.119, -3.948, 29.665
9054.486, -3.948, 29.666
9054.852, -3.948, 29.667
9055.219, -3.948, 29.669
9055.584, -3.948, 29.670
9055.951, -3.948, 29.671
9056.316, -3.948, 29.672
9056.684, -3.948, 29.673
9057.049, -3.948, 29.675
9057.416, -3.948, 29.676
9057.781, -3.948, 29.677
9058.148, -3.948, 29.678
9058.514, -3.948, 29.679
9058.881, -3.948, 29.680
9059.246, -3.948, 29.681
9059.613, -3.948, 29.682
9059.979, -3.948, 29.684
9060.346, -3.948, 29.685
9060.711, -3.948, 29.687
9061.078, -3.948, 29.688
9061.443, -3.948, 29.689
9061.811, -3.948, 29.689
9062.176, -3.948, 29.690
9062.543, -3.948, 29.691
9062.908, -3.948, 29.692
9063.275, -3.948, 29.694
9063.641, -3.948, 29.695
9064.008, -3.948, 29.696
9064.373, -3.948, 29.697
9064.740, -3.948, 29.698
9065.105, -3.948, 29.699
9065.473, -3.948, 29.700
9065.838, -3.948, 29.702
9066.205, -3.948, 29.703
9066.572, -3.948, 29.705
9066.938, -3.948, 29.706
9067.305, -3.948, 29.707
9067.670, -3.948, 29.708
9068.037, -3.948, 29.709
9068.402, -3.948, 29.710
9068.770, -3.948, 29.712
9069.135, -3.948, 29.713
9069.502, -3.948, 29.714
9069.867, -3.948, 29.715
9070.234, -3.948, 29.716
9070.600, -3.948, 29.717
9070.967, -3.948, 29.718
9071.332, -3.948, 29.720
9071.699, -3.948, 29.721
9072.064, -3.948, 29.723
9072.432, -3.948, 29.724
9072.797, -3.948, 29.725
9073.164, -3.948, 29.726
9073.529, -3.948, 29.727
9073.896, -3.948, 29.728
9074.262, -3.948, 29.729
9074.629, -3.948, 29.731
9074.994, -3.948, 29.732
9075.361, -3.948, 29.733
9075.727, -3.948, 29.734
9076.094, -3.948, 29.735
9076.459, -3.948, 29.736
9076.826, -3.948, 29.738
9077.191, -3.948, 29.739
9077.559, -3.948, 29.741
9077.924, -3.948, 29.741
9078.291, -3.948, 29.742
9078.656, -3.948, 29.743
9079.023, -3.948, 29.744
9079.389, -3.948, 29.745
9079.756, -3.948, 29.747
9080.121, -3.948, 29.748
9080.488, -3.948, 29.749
9080.854, -3.948, 29.750
9081.221, -3.948, 29.751
9081.586, -3.948, 29.752
9081.953, -3.948, 29.753
9082.318, -3.948, 29.755
9082.686, -3.948, 29.756
9083.051, -3.948, 29.758
9083.418, -3.948, 29.759
9083.783, -3.948, 29.760
9084.150, -3.948, 29.761
9084.516, -3.948, 29.762
9084.883, -3.948, 29.763
9085.248, -3.948, 29.765
9085.615, -3.948, 29.766
9085.980, -3.948, 29.767
9086.348, -3.948, 29.768
9086.713, -3.948, 29.769
9087.080, -3.948, 29.771
9087.445, -3.948, 29.772
9087.812, -3.948, 29.773
9088.178, -3.948, 29.774
9088.545, -3.948, 29.775
9088.910, -3.948, 29.776
9089.277, -3.948, 29.778
9089.643, -3.948, 29.779
9090.010, -3.948, 29.781
9090.375, -3.948, 29.782
9090.742, -3.948, 29.783
9091.107, -3.948, 29.784
9091.475, -3.948, 29.785
9091.840, -3.948, 29.786
9092.207, -3.948, 29.787
9092.572, -3.948, 29.789
9092.939, -3.948, 29.790
9093.305, -3.948, 29.791
9093.672, -3.948, 29.792
9094.037, -3.948, 29.793
9094.404, -3.948, 29.794
9094.770, -3.948, 29.795
9095.137, -3.948, 29.797
9095.502, -3.948, 29.798
9095.869, -3.948, 29.799
9096.234, -3.948, 29.800
9096.602, -3.948, 29.801
9096.967, -3.948, 29.802
9097.334, -3.948, 29.803
9097.699, -3.948, 29.804
9098.066, -3.948, 29.805
9098.432, -3.948, 29.806
9098.799, -3.948, 29.807
9099.164, -3.948, 29.809
9099.531, -3.948, 29.810
9099.896, -3.948, 29.812
9100.264, -3.948, 29.813
9100.629, -3.948, 29.814
9100.996, -3.948, 29.815
9101.361, -3.948, 29.816
9101.729, -3.948, 29.817
9102.094, -3.948, 29.818
9102.461, -3.948, 29.819
9102.826, -3.948, 29.821
9103.193, -3.948, 29.822
9103.559, -3.948, 29.823
9103.926, -3.948, 29.824
9104.291, -3.948, 29.825
9104.658, -3.948, 29.826
9105.023, -3.948, 29.828
9105.391, -3.948, 29.830
9105.756, -3.948, 29.831
9106.123, -3.948, 29.832
9106.488, -3.948, 29.833
9106.855, -3.948, 29.834
9107.221, -3.948, 29.835
9107.588, -3.948, 29.836
9107.953, -3.948, 29.837
9108.320, -3.948, 29.839
9108.686, -3.948, 29.840
9109.053, -3.948, 29.841
9109.418, -3.948, 29.842
9109.785, -3.948, 29.843
9110.150, -3.948, 29.844
9110.518, -3.948, 29.845
9110.883, -3.948, 29.846
9111.250, -3.948, 29.848
9111.615, -3.948, 29.849
9111.982, -3.948, 29.850
9112.348, -3.948, 29.852
9112.715, -3.948, 29.853
9113.080, -3.948, 29.854
9113.447, -3.948, 29.855
9113.812, -3.948, 29.855
9114.180, -3.948, 29.856
9114.545, -3.948, 29.857
9114.912, -3.948, 29.859
9115.277, -3.948, 29.861
9115.645, -3.948, 29.862
9116.010, -3.948, 29.864
9116.377, -3.948, 29.864
9116.742, -3.948, 29.865
9117.109, -3.948, 29.866
9117.475, -3.948, 29.867
9117.842, -3.948, 29.868
9118.207, -3.948, 29.870
9118.574, -3.948, 29.871
9118.939, -3.948, 29.873
9119.307, -3.948, 29.873
9119.672, -3.948, 29.874
9120.039, -3.948, 29.875
9120.404, -3.948, 29.876
9120.771, -3.948, 29.878
9121.137, -3.948, 29.879
9121.504, -3.948, 29.881
9121.869, -3.948, 29.882
9122.236, -3.948, 29.883
9122.602, -3.948, 29.884
9122.969, -3.948, 29.885
9123.334, -3.948, 29.886
9123.701, -3.948, 29.887
9124.066, -3.948, 29.888
9124.434, -3.948, 29.890
9124.799, -3.948, 29.891
9125.166, -3.948, 29.892
9125.531, -3.948, 29.893
9125.898, -3.948, 29.894
9126.264, -3.948, 29.896
9126.631, -3.948, 29.897
9126.996, -3.948, 29.898
9127.363, -3.948, 29.900
9127.729, -3.948, 29.901
9128.096, -3.948, 29.902
9128.461, -3.948, 29.903
9128.828, -3.948, 29.904
9129.193, -3.948, 29.905
9129.561, -3.948, 29.906
9129.926, -3.948, 29.907
9130.293, -3.948, 29.909
9130.658, -3.948, 29.910
9131.025, -3.948, 29.911
9131.391, -3.948, 29.912
9131.758, -3.948, 29.914
9132.123, -3.948, 29.915
9132.490, -3.948, 29.916
9132.855, -3.948, 29.917
9133.223, -3.948, 29.918
9133.588, -3.948, 29.919
9133.955, -3.948, 29.920
9134.320, -3.948, 29.922
9134.688, -3.948, 29.923
9135.053, -3.948, 29.924
9135.420, -3.948, 29.925
9135.785, -3.948, 29.926
9136.152, -3.948, 29.928
9136.518, -3.948, 29.929
9136.885, -3.948, 29.930
9137.250, -3.948, 29.932
9137.617, -3.948, 29.933
9137.982, -3.948, 29.934
9138.350, -3.948, 29.935
9138.715, -3.948, 29.937
9139.082, -3.948, 29.938
9139.447, -3.948, 29.938
9139.814, -3.948, 29.939
9140.180, -3.948, 29.940
9140.547, -3.948, 29.941
9140.912, -3.948, 29.943
9141.279, -3.948, 29.944
9141.645, -3.948, 29.945
9142.012, -3.948, 29.946
9142.377, -3.948, 29.947
9142.744, -3.948, 29.948
9143.109, -3.948, 29.950
9143.477, -3.948, 29.951
9143.842, -3.948, 29.952
9144.209, -3.948, 29.953
9144.574, -3.948, 29.954
9144.941, -3.948, 29.955
9145.307, -3.948, 29.956
9145.674, -3.948, 29.958
9146.039, -3.948, 29.959
9146.406, -3.948, 29.960
9146.771, -3.948, 29.961
9147.139, -3.948, 29.962
9147.504, -3.948, 29.964
9147.871, -3.948, 29.965
9148.236, -3.948, 29.966
9148.604, -3.948, 29.968
9148.969, -3.948, 29.969
9149.336, -3.948, 29.970
9149.701, -3.948, 29.971
9150.068, -3.948, 29.972
9150.434, -3.948, 29.974
9150.801, -3.948, 29.975
9151.168, -3.948, 29.976
9151.533, -3.948, 29.977
9151.900, -3.948, 29.978
9152.266, -3.948, 29.979
9152.633, -3.948, 29.980
9152.998, -3.948, 29.981
9153.365, -3.948, 29.982
9153.730, -3.948, 29.983
9154.098, -3.948, 29.984
9154.463, -3.948, 29.986
9154.830, -3.948, 29.987
9155.195, -3.948, 29.989
9155.562, -3.948, 29.990
9155.928, -3.948, 29.991
9156.295, -3.948, 29.992
9156.660, -3.948, 29.993
9157.027, -3.948, 29.994
9157.393, -3.948, 29.995
9157.760, -3.948, 29.997
9158.125, -3.948, 29.998
9158.492, -3.948, 29.999
9158.857, -3.948, 30.000
9159.225, -3.948, 30.001
9159.590, -3.948, 30.003
9159.957, -3.948, 30.004
9160.322, -3.948, 30.005
9160.689, -3.948, 30.006
9161.055, -3.948, 30.007
9161.422, -3.948, 30.008
9161.787, -3.948, 30.009
9162.154, -3.948, 30.010
9162.520, -3.948, 30.012
9162.887, -3.948, 30.013
9163.252, -3.948, 30.014
9163.619, -3.948, 30.016
9163.984, -3.948, 30.017
9164.352, -3.948, 30.018
9164.717, -3.948, 30.019
9165.084, -3.948, 30.020
9165.449, -3.948, 30.022
9165.816, -3.948, 30.023
9166.182, -3.948, 30.024
9166.549, -3.948, 30.025
9166.914, -3.948, 30.026
9167.281, -3.948, 30.027
9167.646, -3.948, 30.028
9168.014, -3.948, 30.030
9168.379, -3.948, 30.031
9168.746, -3.948, 30.032
9169.111, -3.948, 30.033
9169.479, -3.948, 30.034
9169.844, -3.948, 30.035
9170.211, -3.948, 30.036
9170.576, -3.948, 30.037
9170.943, -3.948, 30.039
9171.309, -3.948, 30.040
9171.676, -3.948, 30.041
9172.041, -3.948, 30.042
9172.408, -3.948, 30.043
9172.773, -3.948, 30.045
9173.141, -3.948, 30.046
9173.506, -3.948, 30.047
9173.873, -3.948, 30.048
9174.238, -3.948, 30.049
9174.605, -3.948, 30.050
9174.971, -3.948, 30.051
9175.338, -3.948, 30.052
9175.703, -3.948, 30.054
9176.070, -3.948, 30.056
9176.436, -3.948, 30.057
9176.803, -3.948, 30.058
9177.168, -3.948, 30.059
9177.535, -3.948, 30.060
9177.900, -3.948, 30.061
9178.268, -3.948, 30.062
9178.633, -3.948, 30.063
9179.000, -3.948, 30.064
9179.365, -3.948, 30.066
9179.732, -3.948, 30.067
9180.098, -3.948, 30.068
9180.465, -3.948, 30.070
9180.830, -3.948, 30.071
9181.197, -3.948, 30.072
9181.562, -3.948, 30.073
9181.930, -3.948, 30.074
9182.295, -3.948, 30.075
9182.662, -3.948, 30.076
9183.027, -3.948, 30.077
9183.395, -3.948, 30.078
9183.760, -3.948, 30.080
9184.127, -3.948, 30.082
9184.492, -3.948, 30.083
9184.859, -3.948, 30.084
9185.225, -3.948, 30.085
9185.592, -3.948, 30.086
9185.957, -3.948, 30.087
9186.324, -3.948, 30.088
9186.689, -3.948, 30.089
9187.057, -3.948, 30.090
9187.422, -3.948, 30.091
9187.789, -3.948, 30.093
9188.154, -3.948, 30.094
9188.521, -3.948, 30.095
9188.887, -3.948, 30.096
9189.254, -3.948, 30.097
9189.619, -3.948, 30.099
9189.986, -3.948, 30.100
9190.352, -3.948, 30.101
9190.719, -3.948, 30.103
9191.084, -3.948, 30.104
9191.451, -3.948, 30.105
9191.816, -3.948, 30.106
9192.184, -3.948, 30.107
9192.549, -3.948, 30.108
9192.916, -3.948, 30.109
9193.281, -3.948, 30.110
9193.648, -3.948, 30.111
9194.014, -3.948, 30.112
9194.381, -3.948, 30.113
9194.746, -3.948, 30.115
9195.113, -3.948, 30.116
9195.479, -3.948, 30.118
9195.846, -3.948, 30.119
9196.211, -3.948, 30.119
9196.578, -3.948, 30.120
9196.943, -3.948, 30.121
9197.311, -3.948, 30.123
9197.676, -3.948, 30.124
9198.043, -3.948, 30.126
9198.408, -3.948, 30.127
9198.775, -3.948, 30.128
9199.141, -3.948, 30.129
9199.508, -3.948, 30.130
9199.873, -3.948, 30.131
9200.240, -3.948, 30.132
9200.605, -3.948, 30.134
9200.973, -3.948, 30.135
9201.338, -3.948, 30.136
9201.705, -3.948, 30.137
9202.070, -3.948, 30.139
9202.438, -3.948, 30.140
9202.803, -3.948, 30.141
9203.170, -3.948, 30.142
9203.535, -3.948, 30.144
9203.902, -3.948, 30.145
9204.268, -3.948, 30.146
9204.635, -3.948, 30.147
9205.000, -3.948, 30.148
9205.367, -3.948, 30.149
9205.732, -3.948, 30.150
9206.100, -3.948, 30.151
9206.465, -3.948, 30.152
9206.832, -3.948, 30.153
9207.197, -3.948, 30.155
9207.564, -3.948, 30.156
9207.930, -3.948, 30.157
9208.297, -3.948, 30.159
9208.662, -3.948, 30.160
9209.029, -3.948, 30.161
9209.395, -3.948, 30.162
9209.762, -3.948, 30.163
9210.127, -3.948, 30.164
9210.494, -3.948, 30.165
9210.859, -3.948, 30.167
9211.227, -3.948, 30.168
9211.592, -3.948, 30.169
9211.959, -3.948, 30.170
9212.324, -3.948, 30.171
9212.691, -3.948, 30.172
9213.057, -3.948, 30.173
9213.424, -3.948, 30.175
9213.789, -3.948, 30.177
9214.156, -3.948, 30.178
9214.521, -3.948, 30.179
9214.889, -3.948, 30.180
9215.254, -3.948, 30.181
9215.621, -3.948, 30.182
9215.986, -3.948, 30.183
9216.354, -3.948, 30.184
9216.719, -3.948, 30.185
9217.086, -3.948, 30.186
9217.451, -3.948, 30.187
9217.818, -3.948, 30.189
9218.184, -3.948, 30.190
9218.551, -3.948, 30.192
9218.916, -3.948, 30.193
9219.283, -3.948, 30.194
9219.648, -3.948, 30.195
9220.016, -3.948, 30.196
9220.381, -3.948, 30.197
9220.748, -3.948, 30.198
9221.113, -3.948, 30.199
9221.480, -3.948, 30.200
9221.846, -3.948, 30.201
9222.213, -3.948, 30.202
9222.578, -3.948, 30.204
9222.945, -3.948, 30.205
9223.311, -3.948, 30.207
9223.678, -3.948, 30.209
9224.043, -3.948, 30.210
9224.410, -3.948, 30.212
9224.775, -3.948, 30.212
9225.143, -3.948, 30.213
9225.508, -3.948, 30.214
9225.875, -3.948, 30.215
9226.240, -3.948, 30.216
9226.607, -3.948, 30.217
9226.973, -3.948, 30.218
9227.340, -3.948, 30.219
9227.705, -3.948, 30.220
9228.072, -3.948, 30.221
9228.438, -3.948, 30.222
9228.805, -3.948, 30.224
9229.170, -3.948, 30.225
9229.537, -3.948, 30.226
9229.902, -3.948, 30.228
9230.270, -3.948, 30.229
9230.635, -3.948, 30.230
9231.002, -3.948, 30.231
9231.367, -3.948, 30.232
9231.734, -3.948, 30.233
9232.100, -3.948, 30.235
9232.467, -3.948, 30.236
9232.832, -3.948, 30.237
9233.199, -3.948, 30.238
9233.564, -3.948, 30.239
9233.932, -3.948, 30.240
9234.297, -3.948, 30.242
9234.664, -3.948, 30.243
9235.029, -3.948, 30.244
9235.396, -3.948, 30.245
9235.762, -3.948, 30.247
9236.129, -3.948, 30.248
9236.496, -3.948, 30.249
9236.861, -3.948, 30.250
9237.229, -3.948, 30.251
9237.594, -3.948, 30.252
9237.961, -3.948, 30.254
9238.326, -3.948, 30.255
9238.693, -3.948, 30.257
9239.059, -3.948, 30.258
9239.426, -3.948, 30.259
9239.791, -3.948, 30.260
9240.158, -3.948, 30.261
9240.523, -3.948, 30.262
9240.891, -3.948, 30.264
9241.256, -3.948, 30.265
9241.623, -3.948, 30.266
9241.988, -3.948, 30.267
9242.355, -3.948, 30.268
9242.721, -3.948, 30.269
9243.088, -3.948, 30.270
9243.453, -3.948, 30.271
9243.820, -3.948, 30.272
9244.186, -3.948, 30.274
9244.553, -3.948, 30.275
9244.918, -3.948, 30.276
9245.285, -3.948, 30.277
9245.650, -3.948, 30.278
9246.018, -3.948, 30.279
9246.383, -3.948, 30.281
9246.750, -3.948, 30.282
9247.115, -3.948, 30.283
9247.482, -3.948, 30.284
9247.848, -3.948, 30.286
9248.215, -3.948, 30.287
9248.580, -3.948, 30.288
9248.947, -3.948, 30.289
9249.312, -3.948, 30.290
9249.680, -3.948, 30.291
9250.045, -3.948, 30.292
9250.412, -3.948, 30.294
9250.777, -3.948, 30.295
9251.145, -3.948, 30.296
9251.510, -3.948, 30.297
9251.877, -3.948, 30.298
9252.242, -3.948, 30.300
9252.609, -3.948, 30.301
9252.975, -3.948, 30.302
9253.342, -3.948, 30.303
9253.707, -3.948, 30.304
9254.074, -3.948, 30.305
9254.439, -3.948, 30.306
9254.807, -3.948, 30.307
9255.172, -3.948, 30.309
9255.539, -3.948, 30.310
9255.904, -3.948, 30.312
9256.271, -3.948, 30.312
9256.637, -3.948, 30.313
9257.004, -3.948, 30.314
9257.369, -3.948, 30.315
9257.736, -3.948, 30.316
9258.102, -3.948, 30.318
9258.469, -3.948, 30.319
9258.834, -3.948, 30.321
9259.201, -3.948, 30.322
9259.566, -3.948, 30.323
9259.934, -3.948, 30.324
9260.299, -3.948, 30.325
9260.666, -3.948, 30.326
9261.031, -3.948, 30.327
9261.398, -3.948, 30.329
9261.764, -3.948, 30.330
9262.131, -3.948, 30.331
9262.496, -3.948, 30.333
9262.863, -3.948, 30.334
9263.229, -3.948, 30.335
9263.596, -3.948, 30.336
9263.961, -3.948, 30.337
9264.328, -3.948, 30.337
9264.693, -3.948, 30.338
9265.061, -3.948, 30.340
9265.426, -3.948, 30.341
9265.793, -3.948, 30.343
9266.158, -3.948, 30.344
9266.525, -3.948, 30.346
9266.891, -3.948, 30.347
9267.258, -3.948, 30.348
9267.623, -3.948, 30.349
9267.990, -3.948, 30.351
9268.355, -3.948, 30.352
9268.723, -3.948, 30.353
9269.088, -3.948, 30.354
9269.455, -3.948, 30.355
9269.820, -3.948, 30.356
9270.188, -3.948, 30.357
9270.553, -3.948, 30.358
9270.920, -3.948, 30.359
9271.285, -3.948, 30.360
9271.652, -3.948, 30.361
9272.018, -3.948, 30.362
9272.385, -3.948, 30.363
9272.750, -3.948, 30.365
9273.117, -3.948, 30.367
9273.482, -3.948, 30.369
9273.850, -3.948, 30.370
9274.215, -3.948, 30.370
9274.582, -3.948, 30.371
9274.947, -3.948, 30.372
9275.314, -3.948, 30.373
9275.680, -3.948, 30.375
9276.047, -3.948, 30.377
9276.412, -3.948, 30.378
9276.779, -3.948, 30.379
9277.145, -3.948, 30.380
9277.512, -3.948, 30.381
9277.877, -3.948, 30.382
9278.244, -3.948, 30.383
9278.609, -3.948, 30.384
9278.977, -3.948, 30.385
9279.342, -3.948, 30.386
9279.709, -3.948, 30.387
9280.074, -3.948, 30.389
9280.441, -3.948, 30.390
9280.807, -3.948, 30.391
9281.174, -3.948, 30.392
9281.539, -3.948, 30.393
9281.906, -3.948, 30.394
9282.271, -3.948, 30.396
9282.639, -3.948, 30.397
9283.004, -3.948, 30.398
9283.371, -3.948, 30.399
9283.736, -3.948, 30.400
9284.104, -3.948, 30.401
9284.469, -3.948, 30.403
9284.836, -3.948, 30.404
9285.201, -3.948, 30.405
9285.568, -3.948, 30.407
9285.934, -3.948, 30.408
9286.301, -3.948, 30.409
9286.666, -3.948, 30.410
9287.033, -3.948, 30.411
9287.398, -3.948, 30.412
9287.766, -3.948, 30.413
9288.131, -3.948, 30.415
9288.498, -3.948, 30.416
9288.863, -3.948, 30.418
9289.230, -3.948, 30.419
9289.596, -3.948, 30.420
9289.963, -3.948, 30.421
9290.328, -3.948, 30.422
9290.695, -3.948, 30.423
9291.061, -3.948, 30.424
9291.428, -3.948, 30.425
9291.793, -3.948, 30.426
9292.160, -3.948, 30.427
9292.525, -3.948, 30.428
9292.893, -3.948, 30.430
9293.258, -3.948, 30.431
9293.625, -3.948, 30.433
9293.990, -3.948, 30.434
9294.357, -3.948, 30.435
9294.723, -3.948, 30.436
9295.090, -3.948, 30.437
9295.455, -3.948, 30.439
9295.822, -3.948, 30.440
9296.188, -3.948, 30.441
9296.555, -3.948, 30.442
9296.920, -3.948, 30.443
9297.287, -3.948, 30.445
9297.652, -3.948, 30.446
9298.020, -3.948, 30.447
9298.385, -3.948, 30.448
9298.752, -3.948, 30.449
9299.117, -3.948, 30.451
9299.484, -3.948, 30.452
9299.850, -3.948, 30.453
