* Freq(Hz), SPL(dB), Phase(degrees)
112.977, -5.915, 8.804
113.344, -5.911, 8.814
113.710, -5.907, 8.825
114.076, -5.903, 8.836
114.442, -5.900, 8.846
114.808, -5.896, 8.857
115.175, -5.892, 8.867
115.541, -5.889, 8.878
115.907, -5.885, 8.889
116.273, -5.881, 8.899
116.639, -5.878, 8.910
117.006, -5.874, 8.920
117.372, -5.870, 8.931
117.738, -5.867, 8.941
118.104, -5.863, 8.952
118.471, -5.860, 8.962
118.837, -5.856, 8.972
119.203, -5.852, 8.981
119.569, -5.849, 8.990
119.935, -5.845, 8.999
120.302, -5.842, 9.009
120.668, -5.838, 9.018
121.034, -5.835, 9.027
121.400, -5.831, 9.036
121.767, -5.828, 9.045
122.133, -5.824, 9.054
122.499, -5.821, 9.062
122.865, -5.817, 9.070
123.231, -5.814, 9.078
123.598, -5.810, 9.087
123.964, -5.806, 9.095
124.330, -5.803, 9.103
124.696, -5.799, 9.111
125.062, -5.796, 9.120
125.429, -5.792, 9.128
125.795, -5.789, 9.136
126.161, -5.785, 9.144
126.527, -5.781, 9.152
126.894, -5.778, 9.161
127.260, -5.774, 9.169
127.626, -5.771, 9.177
127.992, -5.767, 9.185
128.358, -5.764, 9.193
128.725, -5.760, 9.201
129.091, -5.757, 9.209
129.457, -5.753, 9.216
129.823, -5.750, 9.224
130.189, -5.746, 9.231
130.556, -5.743, 9.239
130.922, -5.740, 9.246
131.288, -5.736, 9.253
131.654, -5.733, 9.260
132.021, -5.729, 9.267
132.387, -5.726, 9.274
132.753, -5.722, 9.281
133.119, -5.719, 9.287
133.485, -5.716, 9.294
133.852, -5.712, 9.300
134.218, -5.709, 9.307
134.584, -5.705, 9.313
134.950, -5.702, 9.319
135.316, -5.698, 9.326
135.683, -5.695, 9.332
136.049, -5.692, 9.338
136.415, -5.688, 9.344
136.781, -5.685, 9.350
137.148, -5.682, 9.356
137.514, -5.678, 9.363
137.880, -5.675, 9.369
138.246, -5.671, 9.375
138.612, -5.668, 9.381
138.979, -5.665, 9.386
139.345, -5.661, 9.392
139.711, -5.658, 9.398
140.077, -5.655, 9.403
140.443, -5.651, 9.409
140.810, -5.648, 9.415
141.176, -5.645, 9.420
141.542, -5.641, 9.425
141.908, -5.638, 9.430
142.275, -5.635, 9.435
142.641, -5.631, 9.440
143.007, -5.628, 9.445
143.373, -5.625, 9.451
143.739, -5.621, 9.456
144.106, -5.618, 9.461
144.472, -5.615, 9.465
144.838, -5.612, 9.470
145.204, -5.608, 9.475
145.570, -5.605, 9.480
145.937, -5.602, 9.485
146.303, -5.599, 9.490
146.669, -5.595, 9.494
147.035, -5.592, 9.499
147.402, -5.589, 9.503
147.768, -5.586, 9.508
148.134, -5.582, 9.512
148.500, -5.579, 9.516
148.866, -5.576, 9.520
149.233, -5.573, 9.525
149.599, -5.570, 9.528
149.965, -5.567, 9.532
150.331, -5.563, 9.536
150.698, -5.560, 9.540
151.064, -5.557, 9.544
151.430, -5.554, 9.548
151.796, -5.551, 9.552
152.162, -5.548, 9.555
152.529, -5.544, 9.558
152.895, -5.541, 9.562
153.261, -5.538, 9.565
153.627, -5.535, 9.569
153.993, -5.532, 9.572
154.360, -5.529, 9.576
154.726, -5.526, 9.579
155.092, -5.522, 9.583
155.458, -5.519, 9.586
155.825, -5.516, 9.589
156.191, -5.513, 9.592
156.557, -5.510, 9.596
156.923, -5.507, 9.599
157.289, -5.504, 9.602
157.656, -5.501, 9.606
158.022, -5.498, 9.609
158.388, -5.495, 9.612
158.754, -5.492, 9.615
159.120, -5.489, 9.618
159.487, -5.486, 9.620
159.853, -5.483, 9.623
160.219, -5.480, 9.626
160.585, -5.477, 9.629
160.952, -5.474, 9.631
161.318, -5.471, 9.634
161.684, -5.468, 9.636
162.050, -5.465, 9.639
162.416, -5.462, 9.641
162.783, -5.459, 9.643
163.149, -5.456, 9.645
163.515, -5.453, 9.647
163.881, -5.450, 9.649
164.247, -5.447, 9.652
164.614, -5.444, 9.654
164.980, -5.441, 9.656
165.346, -5.438, 9.658
165.712, -5.435, 9.660
166.079, -5.432, 9.662
166.445, -5.429, 9.664
166.811, -5.426, 9.666
167.177, -5.423, 9.668
167.543, -5.420, 9.670
167.910, -5.417, 9.672
168.276, -5.414, 9.674
168.642, -5.411, 9.675
169.008, -5.409, 9.677
169.374, -5.406, 9.679
169.741, -5.403, 9.681
170.107, -5.400, 9.683
170.473, -5.397, 9.684
170.839, -5.394, 9.685
171.206, -5.391, 9.687
171.572, -5.389, 9.688
171.938, -5.386, 9.689
172.304, -5.383, 9.691
172.670, -5.380, 9.692
173.037, -5.377, 9.694
173.403, -5.374, 9.695
173.769, -5.372, 9.696
174.135, -5.369, 9.697
174.501, -5.366, 9.698
174.868, -5.363, 9.699
175.234, -5.360, 9.700
175.600, -5.358, 9.701
175.966, -5.355, 9.702
176.333, -5.352, 9.703
176.699, -5.349, 9.704
177.065, -5.347, 9.705
177.431, -5.344, 9.706
177.797, -5.341, 9.707
178.164, -5.338, 9.707
178.530, -5.335, 9.707
178.896, -5.333, 9.707
179.262, -5.330, 9.708
179.629, -5.328, 9.709
179.995, -5.325, 9.711
180.361, -5.322, 9.712
180.727, -5.319, 9.714
181.093, -5.317, 9.714
181.460, -5.314, 9.714
181.826, -5.311, 9.714
182.192, -5.309, 9.714
182.558, -5.306, 9.715
182.924, -5.303, 9.715
183.291, -5.301, 9.716
183.657, -5.298, 9.716
184.023, -5.295, 9.716
184.389, -5.292, 9.716
184.756, -5.290, 9.716
185.122, -5.287, 9.717
185.488, -5.285, 9.717
185.854, -5.282, 9.718
186.220, -5.279, 9.718
186.587, -5.277, 9.718
186.953, -5.274, 9.718
187.319, -5.272, 9.718
187.685, -5.269, 9.718
188.051, -5.266, 9.718
188.418, -5.264, 9.718
188.784, -5.261, 9.718
189.150, -5.259, 9.718
189.516, -5.256, 9.718
189.883, -5.254, 9.717
190.249, -5.251, 9.717
190.615, -5.248, 9.717
190.981, -5.246, 9.717
191.347, -5.243, 9.716
191.714, -5.241, 9.716
192.080, -5.238, 9.715
192.446, -5.236, 9.715
192.812, -5.233, 9.715
193.178, -5.231, 9.714
193.545, -5.228, 9.714
193.911, -5.226, 9.713
194.277, -5.223, 9.713
194.643, -5.221, 9.712
195.010, -5.218, 9.712
195.376, -5.216, 9.711
195.742, -5.213, 9.711
196.108, -5.211, 9.710
196.474, -5.208, 9.710
196.841, -5.206, 9.709
197.207, -5.203, 9.708
197.573, -5.201, 9.708
197.939, -5.198, 9.707
198.305, -5.196, 9.707
198.672, -5.194, 9.706
199.038, -5.191, 9.705
199.404, -5.189, 9.705
199.770, -5.186, 9.704
200.137, -5.184, 9.703
200.503, -5.182, 9.702
200.869, -5.179, 9.701
201.235, -5.177, 9.700
201.601, -5.174, 9.699
201.968, -5.172, 9.698
202.334, -5.170, 9.697
202.700, -5.167, 9.696
203.066, -5.165, 9.695
203.432, -5.163, 9.694
203.799, -5.160, 9.693
204.165, -5.158, 9.692
204.531, -5.156, 9.690
204.897, -5.153, 9.689
205.264, -5.151, 9.688
205.630, -5.149, 9.687
205.996, -5.146, 9.686
206.362, -5.144, 9.684
206.728, -5.142, 9.683
207.095, -5.139, 9.682
207.461, -5.137, 9.681
207.827, -5.135, 9.680
208.193, -5.132, 9.679
208.559, -5.130, 9.677
208.926, -5.128, 9.676
209.292, -5.126, 9.675
209.658, -5.123, 9.674
210.024, -5.121, 9.672
210.391, -5.119, 9.671
210.757, -5.116, 9.669
211.123, -5.114, 9.668
211.489, -5.112, 9.667
211.855, -5.110, 9.665
212.222, -5.108, 9.663
212.588, -5.105, 9.662
212.954, -5.103, 9.660
213.320, -5.101, 9.659
213.687, -5.099, 9.657
214.053, -5.096, 9.656
214.419, -5.094, 9.654
214.785, -5.092, 9.652
215.151, -5.090, 9.651
215.518, -5.088, 9.649
215.884, -5.085, 9.647
216.250, -5.083, 9.646
216.616, -5.081, 9.644
216.982, -5.079, 9.642
217.349, -5.077, 9.641
217.715, -5.075, 9.639
218.081, -5.072, 9.637
218.447, -5.070, 9.635
218.814, -5.068, 9.633
219.180, -5.066, 9.632
219.546, -5.064, 9.630
219.912, -5.062, 9.628
220.278, -5.060, 9.626
220.645, -5.057, 9.624
221.011, -5.055, 9.622
221.377, -5.053, 9.620
221.743, -5.051, 9.619
222.109, -5.049, 9.617
222.476, -5.047, 9.615
222.842, -5.045, 9.613
223.208, -5.043, 9.611
223.574, -5.041, 9.609
223.941, -5.039, 9.607
224.307, -5.036, 9.605
224.673, -5.034, 9.603
225.039, -5.032, 9.601
225.405, -5.030, 9.599
225.772, -5.028, 9.597
226.138, -5.026, 9.595
